Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Lisboa, Portugal",08/08/2021,78.8,61.9,69,,,0,,,15.2,303.96,28.9,6.5,1.5,58.03,Clear
"Lisboa, Portugal",08/09/2021,81.6,60.9,69.9,,81.3,0,,,14.7,294.38,27.7,7.6,3.3,61.32,Clear
"Lisboa, Portugal",08/10/2021,85.3,62.6,72.5,,84,0,,,15.5,278.08,20.1,7.5,1,58.62,Clear
"Lisboa, Portugal",08/11/2021,85.2,65,72.6,,85.1,0,,,17.3,291.71,27.7,7.3,1.9,65.01,Clear
"Lisboa, Portugal",08/12/2021,88.6,63.6,74.7,,86.4,0,,,15.1,291.96,,6.5,0.8,56.32,Clear
"Lisboa, Portugal",08/13/2021,91.5,66.2,77.8,,91.6,0,,,10.6,263.54,11.5,7,0.7,55.07,Clear
"Lisboa, Portugal",08/14/2021,94.2,68.7,78.8,,93.2,0,,,11.8,229.75,18.3,6.5,0.1,48.67,Clear
"Lisboa, Portugal",08/15/2021,89.1,66.9,76.9,,86.4,0,,,15.4,219.88,28.9,6.5,0.1,46.75,Clear
"Lisboa, Portugal",08/16/2021,84.6,59.3,71.9,,83.4,0,,,23.5,331.45,38,6.2,25,61.57,Clear
"Lisboa, Portugal",08/17/2021,87.6,64.4,72.8,,85.3,0,,,21.3,326.43,30,6.2,25.7,58.57,Partially cloudy
"Lisboa, Portugal",08/18/2021,80.4,62.9,69.5,,79.7,0,,,19.5,310.52,28.9,6.2,26.5,62.64,Partially cloudy
"Lisboa, Portugal",08/19/2021,77.3,61.1,66.5,,,0,,,15.7,324.13,,6.2,30.4,72.91,Partially cloudy
